 54763.1542     19.3000      0.1000
 54763.1622     19.3500      0.1000
 54763.1700     19.3500      0.1000
 54763.1780     19.3400      0.1000
 54769.1638     19.1200      0.1800
 54769.1710     19.3600      0.2000
 54769.1783     19.3400      0.2000
 54769.1855     19.1500      0.1800
 54790.1173     19.3200      0.1900
 54790.1229     19.2700      0.1000
 54790.1251     19.4800      0.2100
 54790.1285     19.2500      0.1000
 54790.1329     19.6400      0.2200
 54790.1341     19.2500      0.1000
 54790.1397     19.2600      0.1000
 54790.1408     19.6600      0.2300
 54821.1090     19.3800      0.2000
 54821.1151     19.1100      0.1700
 54821.1212     19.2100      0.1800
 54821.1272     19.4600      0.2100
 55058.3501     19.1000      0.1600
 55058.3574     19.4100      0.1800
 55058.3647     19.5900      0.2000
 55058.3719     19.5200      0.1900
 55072.2748     19.3800      0.2700
 55072.2787     19.0400      0.2200
 55072.2826     18.9600      0.2100
 55072.2863     20.4000      0.4700
 55084.3361     19.5400      0.2800
 55084.3458     19.8000      0.3200
 55084.3508     18.9800      0.2100
 55094.2299     19.4600      0.1200
 55094.2363     19.5100      0.1200
 55094.2426     19.4700      0.1200
 55094.2489     19.3800      0.1100
 55101.2343     20.2800      0.3300
 55101.2423     20.9200      0.4700
 55101.2504     19.0900      0.1800
 55101.2585     19.2400      0.1900
 55118.1342     20.0200      0.2900
 55118.1423     19.6200      0.2300
 55118.1502     19.8400      0.2600
 55118.1582     19.5500      0.2200
 55126.1757     19.9800      0.2800
 55126.1816     19.8200      0.2600
 55126.1876     19.6000      0.2300
 55126.1936     19.6400      0.2400
 55127.2160     19.5100      0.1200
 55127.2216     19.4300      0.1100
 55127.2271     19.4000      0.1100
 55127.2327     19.4100      0.1100
 55151.0787     19.3100      0.2000
 55151.0859     19.6800      0.2400
 55151.0932     19.5400      0.2200
 55151.1005     19.4500      0.2100
 55156.1008     19.4600      0.1100
 55156.1078     19.5000      0.1200
 55156.1148     19.6300      0.1300
 55156.1218     19.5800      0.1300
 55175.0832     19.5800      0.2300
 55175.0892     19.8600      0.2600
 55175.0953     19.9100      0.2700
 55175.1014     18.9700      0.1700
 55202.0760     19.0900      0.2200
 55202.0815     20.2800      0.4100
 55202.0870     19.5300      0.2700
 55364.4179     20.0800      0.3000
 55364.4237     19.7700      0.2500
 55364.4294     20.4700      0.3700
 55364.4353     19.8900      0.2700
 55368.4052     19.7400      0.2600
 55368.4104     20.2400      0.3300
 55368.4156     19.7900      0.2600
 55383.3716     20.2600      0.3400
 55383.3780     19.8300      0.2700
 55383.3908     19.4600      0.2200
 55442.2900     19.5600      0.1100
 55442.2966     19.6700      0.1200
 55442.3031     19.6300      0.1200
 55442.3095     19.7500      0.1200
 55450.2872     19.8000      0.2500
 55450.3028     19.5200      0.2100
 55457.2464     19.7400      0.1400
 55457.2540     19.5600      0.1300
 55457.2616     19.6700      0.1400
 55457.2692     19.8800      0.1500
 55468.2964     19.5900      0.2300
 55468.3102     20.1900      0.3100
 55480.2779     19.6400      0.1200
 55480.2854     19.6900      0.1200
 55480.2929     19.7100      0.1200
 55480.3004     19.7100      0.1200
 55497.1867     19.4600      0.1100
 55497.1920     19.6000      0.1100
 55497.1972     19.7400      0.1200
 55497.2024     19.6400      0.1200
 55509.0995     19.8500      0.2700
 55509.1144     19.6900      0.2600
 55509.1218     19.7400      0.2600
 55527.1604     19.3900      0.2600
 55527.1808     20.7300      0.5500
 55532.1237     20.8900      0.4700
 55532.1297     20.1500      0.3100
 55539.1145     19.6900      0.2400
 55563.0955     19.9400      0.3800
 55822.2952     19.5900      0.2200
 55822.3172     19.3900      0.2000
 55828.2772     19.5200      0.1200
 55828.2818     19.5200      0.1200
 55828.2865     19.6000      0.1200
 55828.2911     19.6900      0.1300
 55834.2119     19.3200      0.2000
 55834.2203     19.3400      0.2000
 55834.2288     20.0300      0.2800
 55849.2174     19.7900      0.2500
 55849.2243     19.2700      0.1900
 55849.2311     19.4400      0.2100
 55862.1364     19.2400      0.1900
 55862.1444     19.5000      0.2200
 55862.1522     19.6700      0.2400
 55862.1602     19.5500      0.2200
 55881.1105     20.0600      0.2900
 55881.1156     19.8300      0.2500
 55881.1207     19.1100      0.1800
 55881.1259     18.9800      0.1700
 55892.0911     19.7000      0.2400
 55892.0969     20.1200      0.3000
 55892.1026     19.5600      0.2200
 55892.1083     20.0800      0.2900
 56096.4099     19.1400      0.1900
 56096.4166     19.4700      0.2200
 56096.4234     20.5600      0.3900
 56096.4302     19.6800      0.2400
 56126.4474     19.0800      0.1800
 56126.4541     20.5200      0.3800
 56126.4609     19.3900      0.2100
 56126.4678     19.2800      0.2000
 56151.3737     19.4100      0.2200
 56151.3772     19.9000      0.2800
 56151.3808     19.5400      0.2300
 56151.3844     19.4300      0.2200
 56163.3412     19.4700      0.2400
 56163.3470     20.6200      0.4800
 56163.3530     19.3900      0.2500
 56163.3588     19.5300      0.2700
 56185.3513     19.5200      0.1200
 56185.3559     19.6300      0.1200
 56185.3605     19.5300      0.1200
 56185.3651     19.7200      0.1300
 56195.2889     19.9400      0.2400
 56195.2929     19.6800      0.2100
 56206.1722     19.0200      0.1900
 56206.1795     20.5300      0.4700
 56206.1947     19.7300      0.2500
 56214.1591     19.4700      0.2200
 56214.1773     20.2600      0.3300
 56214.1863     19.6900      0.2400
 56216.1790     19.5100      0.1200
 56216.1858     19.6900      0.1300
 56216.1926     19.6900      0.1300
 56216.1994     19.5300      0.1200
 56221.2716     19.2900      0.1800
 56221.2774     20.2300      0.2800
 56221.2832     19.5800      0.2000
 56221.2889     19.8500      0.2300
 56233.1273     19.7900      0.2600
 56233.1441     19.7500      0.2500
 56238.1232     19.7300      0.2100
 56238.1309     19.4800      0.1900
 56238.1387     19.6000      0.2000
 56238.1466     19.4900      0.1900
 56258.1788     19.8100      0.1200
 56258.1858     19.8700      0.1200
 56258.1929     19.8500      0.1200
 56258.2000     19.5700      0.1100
 56272.1246     19.5100      0.1900
 56272.1300     20.1100      0.2600
 56272.1355     20.0700      0.2500
 56462.4309     19.4600      0.2300
 56462.4411     19.3600      0.2100
 56462.4462     19.3500      0.2100
 56532.3417     19.7600      0.2700
 56532.3495     19.8000      0.2800
 56532.3573     19.3400      0.2200
 56532.3650     19.4300      0.2300
 56538.3550     19.2900      0.2200
 56538.3594     19.5700      0.2500
 56538.3638     19.9000      0.3000
 56538.3683     19.6800      0.2700
 56548.3492     19.5000      0.1200
 56548.3541     19.4700      0.1200
 56548.3638     19.5800      0.1200
 56549.2926     19.0500      0.1900
 56549.3072     19.6300      0.2500
 56558.2269     19.6400      0.2400
 56558.2352     20.0600      0.3000
 56558.2436     19.4700      0.2200
 56558.2521     19.6300      0.2400
 56558.2521     20.3100      0.3500
 56558.2596     19.4100      0.2200
 56558.2671     19.9200      0.2900
 56558.2748     19.5800      0.2400
 56578.2477     19.4900      0.2300
 56578.2541     20.3700      0.3700
 56578.2606     20.1600      0.3300
 56578.2670     19.9300      0.2900
 56579.2447     19.8400      0.2800
 56579.2512     19.6700      0.2500
 56579.2577     19.7100      0.2600
 56579.2642     19.1700      0.2000
 56653.0676     19.1800      0.2000
 56653.0757     19.7500      0.3000
 56663.0789     19.4200      0.2500
 56663.0854     20.2800      0.3500
 56663.0919     19.3100      0.2100
 56670.0704     19.1400      0.1900
 56670.0790     19.6800      0.2500
 56670.0875     19.7700      0.2700
 56670.0960     19.5200      0.2400
 56699.0228     19.9600      0.3000
 56699.0295     19.5800      0.1100
 56699.0361     19.3500      0.1000
 56699.0428     19.4200      0.1100
 56701.0087     19.6100      0.1200
 56701.0151     20.5100      0.3800
 56701.0281     19.2300      0.2000
 56727.9160     19.3500      0.2100
 56727.9226     19.4800      0.2200
 56727.9291     19.3400      0.2000
 56727.9357     19.1200      0.1800
 56729.9524     19.4100      0.2100
 56729.9583     19.5300      0.1100
 56729.9641     19.6700      0.1200
 56729.9697     19.7000      0.1200
 56750.9444     19.6200      0.1200
 56750.9593     19.7400      0.2500
 56750.9667     19.8600      0.2700
 56932.2557     19.4600      0.2200
 56932.2605     20.2900      0.3800
 56932.2653     19.4000      0.2300
 56932.2702     19.2400      0.2100
 56963.2132     19.6900      0.2700
 56963.2220     19.2400      0.2100
