53532.41999 18.74 0.16 0
53532.42750 18.89 0.17 0
53532.43500 18.79 0.16 0
53532.44265 18.91 0.17 0
53552.41557 18.72 0.16 0
53552.42200 18.60 0.15 0
53552.42845 18.75 0.16 0
53552.43491 18.87 0.17 0
53553.41259 19.02 0.18 0
53553.41911 18.80 0.17 0
53553.42561 18.70 0.16 0
53553.43212 18.76 0.16 0
53644.23830 18.58 0.15 0
53644.24684 18.78 0.16 0
53644.25536 18.82 0.17 0
53644.26388 18.52 0.15 0
53673.19067 18.90 0.09 0
53673.19733 19.17 0.10 0
53673.20402 18.94 0.09 0
53673.21070 19.26 0.10 0
53675.17653 18.44 0.14 0
53675.18300 19.12 0.19 0
53675.18946 18.52 0.14 0
53675.19595 18.72 0.15 0
53702.08392 19.12 0.18 0
53702.09049 18.66 0.15 0
53702.09702 18.79 0.16 0
53702.10359 18.16 0.12 0
53704.12032 18.97 0.09 0
53704.12618 18.98 0.09 0
53704.13193 18.77 0.09 0
53704.13760 19.32 0.11 0
53725.11232 19.02 0.18 0
53725.11972 18.75 0.16 0
53725.12714 19.08 0.18 0
53725.13455 18.51 0.14 0
53744.07580 19.66 0.26 0
53744.08057 20.09 0.32 0
53744.08535 19.30 0.21 0
53906.42355 19.39 0.23 0
53906.42838 18.64 0.16 0
53906.43321 19.47 0.24 0
53906.43807 18.90 0.18 0
53937.38108 18.91 0.18 0
53937.38992 18.93 0.18 0
53937.39876 18.61 0.16 0
53937.40767 18.92 0.18 0
53975.29842 18.55 0.14 0
53975.30742 18.78 0.15 0
53975.31651 19.29 0.19 0
53975.32558 19.01 0.17 0
53990.35093 18.87 0.16 0
53990.35572 18.95 0.16 0
53990.36050 18.69 0.15 0
53990.36532 18.97 0.17 0
53997.21901 18.66 0.14 0
53997.23028 19.05 0.17 0
53997.24159 18.74 0.15 0
53997.25289 18.49 0.13 0
54010.18254 19.04 0.10 0
54010.18739 20.92 0.21 1
54010.18739 19.21 0.10 0
54010.19217 19.29 0.11 0
54010.19706 21.25 0.27 1
54010.19706 19.28 0.11 0
54024.14606 18.59 0.14 0
54024.15248 19.28 0.19 0
54024.15892 18.93 0.16 0
54024.16536 18.65 0.14 0
54028.27386 19.10 0.10 0
54028.27845 20.55 0.18 1
54028.27845 19.19 0.10 0
54028.28308 18.91 0.09 0
54028.28768 18.97 0.10 0
54030.21105 18.76 0.15 0
54030.21695 18.84 0.15 0
54030.22280 18.94 0.16 0
54030.22869 18.61 0.14 0
54050.15646 18.85 0.15 0
54050.16616 18.71 0.15 0
54050.17590 18.68 0.14 0
54050.18563 18.64 0.14 0
54053.09234 19.21 0.10 0
54053.09234 20.79 0.20 1
54053.09966 18.99 0.10 0
54053.10691 19.07 0.10 0
54053.11403 18.88 0.10 0
54081.14601 18.69 0.15 0
54081.15153 18.10 0.12 0
54081.15704 18.62 0.14 0
54081.16253 18.90 0.16 0
54094.08252 19.02 0.17 0
54094.09175 19.00 0.17 0
54094.10090 18.84 0.15 0
54094.11006 18.80 0.15 0
54109.08486 18.93 0.17 0
54109.08919 18.55 0.15 0
54109.09354 18.98 0.18 0
54109.09805 19.02 0.18 0
54264.42688 18.89 0.17 0
54264.43222 19.01 0.18 0
54264.43752 19.02 0.18 0
54264.44284 18.71 0.16 0
54346.33081 18.73 0.15 0
54353.24793 18.80 0.16 0
54353.25497 19.37 0.21 0
54353.26201 19.22 0.19 0
54353.27424 18.85 0.16 0
54388.16610 18.92 0.20 0
54388.16928 19.17 0.22 0
54388.17228 19.25 0.23 0
54388.17528 19.00 0.21 0
54415.08532 20.53 0.18 1
54415.08532 19.33 0.11 0
54415.09193 19.03 0.09 0
54415.09862 19.25 0.10 0
54415.10532 20.58 0.17 1
54415.10532 19.30 0.10 0
54421.10969 19.33 0.20 0
54421.11566 20.62 0.40 0
54421.12163 18.91 0.17 0
54438.09986 18.62 0.14 0
54438.10625 18.80 0.15 0
54438.11266 18.35 0.13 0
54438.11909 19.17 0.18 0
54449.05797 20.14 0.29 0
54449.06348 18.95 0.16 0
54449.06897 18.82 0.15 0
54449.07447 19.01 0.17 0
54454.10402 18.84 0.16 0
54454.11049 18.37 0.13 0
54454.11694 18.37 0.13 0
54465.07431 19.29 0.19 0
54465.08036 19.29 0.19 0
54465.08640 19.08 0.17 0
54465.09242 19.08 0.17 0
54466.12816 19.22 0.12 0
54466.13338 18.97 0.11 0
54466.13854 19.02 0.11 0
54466.14373 19.24 0.12 0
54475.07972 19.26 0.19 0
54475.08455 19.52 0.22 0
54475.08939 18.72 0.15 0
54475.09420 18.56 0.14 0
54628.40473 18.72 0.16 0
54628.41179 19.39 0.21 0
54628.41889 18.91 0.17 0
54628.42603 18.84 0.16 0
54675.44105 19.32 0.12 0
54675.44580 19.16 0.12 0
54675.45053 19.76 0.47 0
54675.45525 19.54 0.43 0
54716.31923 19.17 0.12 0
54716.32461 19.12 0.12 0
54716.32751 19.66 0.24 0
54716.33019 19.25 0.12 0
54716.33498 19.10 0.18 0
54716.33556 19.14 0.12 0
54716.34239 19.49 0.21 0
54716.34979 19.55 0.22 0
54729.31871 19.38 0.20 0
54729.32605 18.56 0.14 0
54729.33339 19.51 0.22 0
54729.34071 19.04 0.17 0
54730.22993 19.09 0.11 0
54730.23770 19.08 0.10 0
54730.23770 20.68 0.19 1
54730.25315 19.25 0.10 0
54730.25315 20.78 0.19 1
54731.21814 18.86 0.09 0
54731.22695 19.24 0.10 0
54731.23585 18.94 0.09 0
54731.24473 19.18 0.10 0
54740.25573 20.04 0.29 0
54747.18025 19.16 0.11 0
54747.18501 20.68 0.20 1
54747.18501 19.24 0.11 0
54747.18980 19.38 0.11 0
54747.19460 19.11 0.10 0
54763.15420 20.73 0.18 1
54763.15420 19.26 0.10 0
54763.16222 19.24 0.10 0
54763.17002 19.16 0.10 0
54763.17801 19.10 0.10 0
54769.17105 18.70 0.15 0
54769.18547 19.63 0.23 0
54790.11725 18.98 0.16 0
54790.12292 18.80 0.09 0
54790.12505 19.37 0.20 0
54790.12847 18.87 0.09 0
54790.13290 18.84 0.15 0
54790.13409 19.10 0.10 0
54790.13968 20.63 0.17 1
54790.13968 19.12 0.10 0
54790.14077 18.51 0.13 0
54821.10895 18.81 0.15 0
54821.11506 19.09 0.17 0
