# Best fit chi^2, tau, and sigma for LCs in /disk1/cmacleod/qsovarsdss/Krzys/long/
# Columns: ID, chi^2, log10(tau [days]), log10(sigma [mag/sqrt(yr)]), log10(tau_err_lo), log10(tau_err_hi), log10(sig_err_lo), log10(sig_err_hi), edge flag, Plike, Pnoise, Pinf, mu, npts
DRWtest_LClong10_err1.dat        1151.22      2.17916    -0.261194      2.01853      2.36657    -0.292088    -0.257927  0        3056.95      1113.91      3052.22        18.9694   1217
DRWtest_LClong10_err2.dat        1251.93      2.13607    -0.231524      1.99888      2.37046    -0.289967    -0.222702  0        1868.22      995.732      1862.99        18.9626   1217
DRWtest_LClong10_err3.dat        1308.00      2.10851    -0.227565      1.95202      2.34432    -0.298373    -0.211349  0        1155.34      781.288      1150.09        18.9696   1217
DRWtest_LClong110_err1.dat        1168.01      1.84451    -0.258065      1.71145      1.89350    -0.292077    -0.257925  0        3062.15      1557.06      3050.80        18.9744   1217
DRWtest_LClong110_err2.dat        1217.86      1.79828    -0.243438      1.65744      1.87907    -0.295718    -0.237173  0        1900.76      1387.52      1888.75        18.9779   1217
DRWtest_LClong110_err3.dat        1274.52      1.73893    -0.216267      1.59730      1.84498    -0.293864    -0.196153  0        1171.59      1007.74      1159.76        18.9781   1217
DRWtest_LClong111_err1.dat        1134.19      1.89863    -0.263659      1.73551      1.94990    -0.292136    -0.257936  0        3073.96      1524.58      3064.50        18.9819   1217
DRWtest_LClong111_err2.dat        1169.53      1.80888    -0.217733      1.66528      1.89063    -0.279422    -0.211035  0        1889.17      1342.84      1878.04        18.9864   1217
DRWtest_LClong111_err3.dat        1190.90      1.73874    -0.174173      1.60248      1.83972    -0.244673    -0.157928  0        1193.08      986.294      1181.34        18.9908   1217
DRWtest_LClong112_err1.dat        1180.54      1.89982    -0.254582      1.75267      1.97164    -0.292075    -0.257925  0        3049.79      1486.63      3039.58        19.0119   1217
DRWtest_LClong112_err2.dat        1209.37      1.95274    -0.286166      1.81698      2.08472    -0.343437    -0.275991  0        1927.84      1327.43      1920.03        19.0149   1217
DRWtest_LClong112_err3.dat        1240.13      1.83435    -0.214503      1.68932      1.96034    -0.291711    -0.198937  0        1182.82      964.066      1173.39        19.0202   1217
DRWtest_LClong113_err1.dat        1135.22      2.04050    -0.264122      1.87813      2.13530    -0.292156    -0.257940  0        3068.94      1308.07      3062.25        19.0424   1217
DRWtest_LClong113_err2.dat        1230.27      2.00515    -0.243381      1.85896      2.14249    -0.295126    -0.241914  0        1884.96      1170.22      1877.64        19.0428   1217
DRWtest_LClong113_err3.dat        1185.06      2.03686    -0.249398      1.88913      2.22493    -0.325986    -0.232386  0        1219.88      895.333      1213.78        19.0372   1217
DRWtest_LClong114_err1.dat        1175.12      2.03518    -0.256160      1.89234      2.14940    -0.292076    -0.257925  0        3048.07      1292.87      3040.73        19.0410   1217
