# Best fit chi^2, tau, and sigma for LCs in /disk1/cmacleod/qsovarsdss/Krzys/med/
# Columns: ID, chi^2, log10(tau [days]), log10(sigma [mag/sqrt(yr)]), log10(tau_err_lo), log10(tau_err_hi), log10(sig_err_lo), log10(sig_err_hi), edge flag, Plike, Pnoise, Pinf, mu, npts
DRWtest_LCmedium109_err1.dat.2        948.908      1.98408    -0.259268      1.86254      3.90139    -0.292096    -0.257929  0        3047.47      1171.77 -1.00000e+32        19.0655    999
DRWtest_LCmedium109_err2.dat.2        945.665      2.11543    -0.300400      2.05172      4.24505    -0.378157    -0.290166  0        1688.60      1043.52 -1.00000e+32        19.0458    999
DRWtest_LCmedium109_err3.dat.2        1055.67      2.06254    -0.300178      1.98991      4.19422    -0.416129    -0.273337  0        1010.60      776.710 -1.00000e+32        19.0566    999
DRWtest_LCmedium10_err1.dat.2        923.832      2.11574    -0.265565      2.00463      4.15784    -0.292597    -0.258023  0        3059.81      1044.19 -1.00000e+32        19.0604    999
DRWtest_LCmedium10_err2.dat.2        1006.69      2.16551    -0.290717      2.11069      4.28237    -0.361985    -0.276975  0        1657.41      948.263 -1.00000e+32        19.0526    999
DRWtest_LCmedium10_err3.dat.2        902.380      2.14565    -0.272984      2.09265      4.28206    -0.359742    -0.255960  0        1079.47      746.149 -1.00000e+32        19.0514    999
DRWtest_LCmedium110_err1.dat.2        925.355      1.51694    -0.265407      1.34355      1.62430    -0.292575    -0.258019  0        3070.14      1696.64 -1.00000e+32        18.9169    999
DRWtest_LCmedium110_err2.dat.2        1015.51      1.57907    -0.319177      1.42522      1.87478    -0.397446    -0.303427  0        1664.03      1407.70 -1.00000e+32        18.9135    999
DRWtest_LCmedium110_err3.dat.2        931.715      1.50266    -0.272751      1.33042      1.78632    -0.387938    -0.234141  0        1074.30      993.936 -1.00000e+32        18.9108    999
DRWtest_LCmedium111_err1.dat.2        975.833      2.02169    -0.253130      1.92284      4.01447    -0.292076    -0.257925  0        3033.62      1103.07 -1.00000e+32        18.9920    999
DRWtest_LCmedium111_err2.dat.2        967.882      2.04184    -0.258499      1.96414      4.13272    -0.334368    -0.252745  0        1662.80      993.968 -1.00000e+32        18.9822    999
DRWtest_LCmedium111_err3.dat.2        984.788      1.99822    -0.247013      1.90607      4.05245    -0.344455    -0.225928  0        1039.03      765.931 -1.00000e+32        19.0094    999
DRWtest_LCmedium112_err1.dat.2        993.901      1.95831    -0.248805      1.87264      3.98446    -0.292075    -0.257925  0        3024.55      1201.10 -1.00000e+32        19.0529    999
DRWtest_LCmedium112_err2.dat.2        962.987      1.95611    -0.243103      1.86684      4.00238    -0.321292    -0.233169  0        1665.24      1054.59 -1.00000e+32        19.0554    999
DRWtest_LCmedium112_err3.dat.2        1035.41      2.12310    -0.346004      2.06678      4.28712    -0.457733    -0.318495  0        1027.72      812.425 -1.00000e+32        19.0396    999
